X,species,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,currently,region,status,transfer,entryDate
610,Bottlenose,Noelani,F,a,2010,Born,2010-08-05,Dolphin Quest Hawaii,Pele,-,Dolphinaris Arizona,US,Unknown,US,2010-08-05
628,Bottlenose,Dinghy's Calf,F,a,1999,Miscarriage,1999-05-29,Dolphins Plus Oceanside,Dingy,Fonzie,Dolphins Plus Oceanside,US,Miscarriage,US,1999-05-29
629,Bottlenose,Sarah's Calf,F,a,1999,Born,1999-07-01,Dolphins Plus Oceanside,Sarah,L.B.,Dolphins Plus Oceanside,US,Died,US,1999-07-01
630,Bottlenose,Elvis,M,a,2004,Born,2004-08-05,Dolphins Plus Oceanside,Spunky,Alfonz,Dolphins Plus Oceanside,US,Died,US,2004-08-05
632,Bottlenose,Marley,F,a,2008,Born,2008-08-01,Dolphins Plus Oceanside,Samantha,Bob,Dolphins Plus Oceanside,US,Died,US,2008-08-01
640,Beluga,Maris,F,a,1994,Capture,1994-07-28,New York Aquarium,Natasha,Winston,Georgia Aquarium,US,Died,US,1994-07-28
642,Beluga,Maris' Calf,F,a,2015,Born,2015-05-10,Georgia Aquarium,Maris,Beethoven,Georgia Aquarium,US,Died,US,2015-05-10
651,Bottlenose,Ripley's Calf,F,a,2000,Born,2000-08-30,Indianapolis Zoo,Ripley,Sundance,Indianapolis Zoo,US,Died,US,2000-08-30
652,Bottlenose,Nova's Calf,M,a,2011,Born,2011-06-03,Indianapolis Zoo,Nova,Kimo,Indianapolis Zoo,US,Died,US,2011-06-03
658,Bottlenose,Nellie,F,a,1953,Born,1953-02-27,Marineland Florida,Susie,Happy,Marineland Florida,US,Died,US,1953-02-27
693,Bottlenose,June Iii,F,a,1978,Born,1978-06-28,Marineland Florida,Nellie,Rusty,Marineland Florida,US,Died,US,1978-06-28
696,Bottlenose,Racy,M,a,1985,Born,1985-02-28,Marineland Florida,Lilly,Rusty,Marineland Florida,US,Died,US,1985-02-28
698,Bottlenose,Taxi,M,a,1987,Born,1987-04-15,Marineland Florida,Mary,Davy II,Marineland Florida,US,Died,US,1987-04-15
700,Bottlenose,Melba Ii,F,a,1989,Born,1989-05-04,Marineland Florida,Lilly,Rusty,Marineland Florida,US,Died,US,1989-05-04
707,Bottlenose,Roxy's Calf,F,a,2002,Born,2002-05-08,Marineland Florida,Roxy,Alvin,Marineland Florida,US,Died,US,2002-05-08
715,Bottlenose,Squirt,M,a,1991,Born,1991-04-05,Mirage Dolphin Habitat,Duchess,Merlin,Mirage Dolphin Habitat,US,Died,US,1991-04-05
716,Bottlenose,Darla's Calf,U,a,1991,Born,1991-04-07,Mirage Dolphin Habitat,Darla,Merlin,Mirage Dolphin Habitat,US,Died,US,1991-04-07
718,Bottlenose,Picabo,F,a,1994,Born,1994-03-14,Mirage Dolphin Habitat,Darla,Merlin,Mirage Dolphin Habitat,US,Died,US,1994-03-14
720,Bottlenose,Sage,F,a,1997,Born,1997-05-24,Mirage Dolphin Habitat,Darla,Banjo,Mirage Dolphin Habitat,US,Died,US,1997-05-24
721,Bottlenose,Rascal,M,a,2001,Born,2001-05-15,Mirage Dolphin Habitat,Picabo,Banjo,Mirage Dolphin Habitat,US,Died,US,2001-05-15
